Ward_code,Measurementday,Coordinator,InstitutionID,IDresponsible,Ward_code_origineel,InstitutionForm_Type_Inst,InstitutionForm_Mod_Qualityframework,Type_Ward,afkorting_type_ward,D_Age_mean_team,D_QF_Prev_ACP_mean_team,D_QF_ACP_resusication_mean_team,D_QF_ACP_life_ending_treat_mean_team,D_QF_ACP_hosp_adm_mean_team,D_QF_ACP_other_mean_team,D_QF_Prev_MR2_mean_team,D_QF_Nut_foodpreferences_mean_team,D_QF_Nut_foodpreferences_specific_mean_team,D_QF_Nut_foodpreferences_offering_mean_team,D_QF_Nut_foodpreferences_support_mean_team,D_QF_Nut_foodpreferences_time_mean_team,D_QF_Nut_foodpreferences_other_mean_team,D_QF_PU_Prev_cat2_mean_team,D_QF_Inc_toiletingplan_mean_team,D_QF_Inc_toiletingplan_preferences_mean_team,D_QF_Inc_toiletingplan_independent_mean_team,D_QF_Inc_toiletingplan_support_mean_team,D_QF_Inc_toiletingplan_materials_mean_team,D_QF_Inc_toiletingplan_other_mean_team,D_QF_Rest_Prev_mean_team,D_QF_Rest_mechanical_mean_team,D_QF_Rest_physical_mean_team,D_QF_Rest_pharmacologic_mean_team,D_QF_Rest_psych_mean_team,D_QF_Rest_electronic_mean_team,D_QF_Rest_supervision_mean_team,D_QF_Rest_seclusion_mean_team,D_QF_Rest_other_Rest_mean_team,QF_Ward_ErrorsDiscussed,QF_Ward_PU_Discussed,D_QF_Prev_ACP_mean_type_ward,D_QF_ACP_resusication_mean_type_ward,D_QF_ACP_life_ending_treat_mean_type_ward,D_QF_ACP_hosp_adm_mean_type_ward,D_QF_ACP_other_mean_type_ward,D_QF_Prev_MR2_mean_type_ward,D_QF_Nut_foodpreferences_mean_type_ward,D_QF_Nut_foodpreferences_specific_mean_type_ward,D_QF_Nut_foodpreferences_offering_mean_type_ward,D_QF_Nut_foodpreferences_support_mean_type_ward,D_QF_Nut_foodpreferences_time_mean_type_ward,D_QF_Nut_foodpreferences_other_mean_type_ward,D_QF_PU_Prev_cat2_mean_type_ward,D_QF_Inc_toiletingplan_mean_type_ward,D_QF_Inc_toiletingplan_preferences_mean_type_ward,D_QF_Inc_toiletingplan_independent_mean_type_ward,D_QF_Inc_toiletingplan_support_mean_type_ward,D_QF_Inc_toiletingplan_materials_mean_type_ward,D_QF_Inc_toiletingplan_other_mean_type_ward,D_QF_Rest_Prev_mean_type_ward,D_QF_Rest_mechanical_mean_type_ward,D_QF_Rest_physical_mean_type_ward,D_QF_Rest_pharmacologic_mean_type_ward,D_QF_Rest_psych_mean_type_ward,D_QF_Rest_electronic_mean_type_ward,D_QF_Rest_supervision_mean_type_ward,D_QF_Rest_seclusion_mean_type_ward,D_QF_Rest_other_Rest_mean_type_ward,aantal_patienten_per_ward_type,aantal_patienten_in_team,aantal_patienten_in_team_met_behandeling,QF_Ward_ErrorsDiscussed_mean_type_ward,QF_Ward_PU_Discussed_mean_type_ward,missing_per_rij,MR_Missing,ACP_ISNUL,Errors_Discussed_Missing,PU_Discussed_Missing,MAX_MISSING_ALLOWED,teveel_missing,CIW,PrimaryLast,Organisatie,Locatie,Teamnaam
388_1012_1,11/12/2019,888162,388,1012,1,InstitutionType_NursingHome,yes,somatische verblijfsafdeling,Som,85.8297872340426,95.7446808510638,97.7777777777778,2.22222222222222,28.8888888888889,8.88888888888889, ,80.8510638297872,14.8936170212766,48.936170212766,38.2978723404255,68.0851063829787,4.25531914893617,2.12765957446809,53.1914893617021,25.531914893617,23.4042553191489,46.8085106382979,44.6808510638298,2.12765957446809,0,0,0,0,0,0,0,0,0,1,1,93.8632619439867,99.2540587977182,53.0934620447564,62.702939885915,11.5840280824923,31.6153362664991,65.3510594100539,33.1960461285009,33.2784184514003,29.159802306425,41.6392092257002,12.2322899505766,4.95662949194548,69.904919388177,30.0658978583196,20.0988467874794,42.5864909390445,56.9604612850082,6.79571663920923,16.9686985172982,14.332784184514,.0411861614497529,1.77100494233937,.123558484349259,3.21252059308072,.123558484349259,.0823723228995058,1.44151565074135,2428,47,0,94.3548387096774,79.4117647058823,1,1,0,0,0,1,Alles ok,88816210121,Primary Case,ActiVite,Zuidervaart,Zuidervaart
388_1947_1,11/12/2019,888162,388,1947,1,InstitutionType_NursingHome,yes,psychogeriatrische afdeling,PG,86.875,100,100,83.3333333333333,87.5,4.16666666666667,82.6086956521739,0,0,0,0,0,0,0,79.1666666666667,20.8333333333333,62.5,66.6666666666667,70.8333333333333,4.16666666666667,54.1666666666667,8.33333333333333,0,8.33333333333333,0,37.5,0,0,12.5,1,1,98.3599088838268,99.2820750347383,74.0620657711904,76.2621584066698,13.8953219082909,32.3550812515159,73.8633714152483,43.257403189066,43.4168564920274,37.9726651480638,34.7380410022779,13.2574031890661,2.30435774583618,81.9559228650137,38.5421412300683,29.4533029612756,52.6879271070615,66.2186788154898,3.55353075170843,41.867881548975,15.5353075170843,.273348519362187,14.4874715261959,.683371298405467,20.9567198177677,.797266514806378,1.07061503416857,6.5375854214123,4390,24,24,95.067264573991,87.9581151832461,0,0,0,0,0,0,Alles ok,88816219471,Primary Case,ActiVite,Hof van Alkemade,Kleinschalig wonen
388_1947_2,11/12/2019,888162,388,1947,2,InstitutionType_NursingHome,yes,somatische verblijfsafdeling,Som,89.6923076923077,30.7692307692308,100,50,50,50, ,0,0,0,0,0,0,0,7.69230769230769,0,0,7.69230769230769,7.69230769230769,0,0,0,0,0,0,0,0,0,0,1,1,93.8632619439868,99.2540587977183,53.0934620447565,62.7029398859149,11.5840280824923,31.6153362664991,65.351059410054,33.1960461285008,33.2784184514003,29.159802306425,41.6392092257001,12.2322899505766,4.95662949194548,69.904919388177,30.0658978583196,20.0988467874794,42.5864909390445,56.9604612850082,6.79571663920923,16.9686985172982,14.332784184514,.0411861614497529,1.77100494233937,.123558484349259,3.21252059308072,.123558484349259,.0823723228995058,1.44151565074135,2428,13,0,94.3548387096774,79.4117647058823,1,1,0,0,0,1,Alles ok,88816219472,Primary Case,ActiVite,Hof van Alkemade,Somatiek
388_1948_1,11/12/2019,888162,388,1948,1,InstitutionType_NursingHome,yes,somatische verblijfsafdeling,Som,83.6785714285714,25,100,14.2857142857143,14.2857142857143,0, ,42.8571428571429,0,14.2857142857143,39.2857142857143,28.5714285714286,0,0,39.2857142857143,3.57142857142857,0,28.5714285714286,14.2857142857143,0,0,0,0,0,0,0,0,0,0,1,1,93.8632619439868,99.2540587977183,53.0934620447564,62.7029398859149,11.5840280824923,31.6153362664991,65.351059410054,33.1960461285008,33.2784184514003,29.159802306425,41.6392092257002,12.2322899505766,4.95662949194548,69.904919388177,30.0658978583196,20.0988467874794,42.5864909390445,56.9604612850082,6.79571663920923,16.9686985172982,14.332784184514,.0411861614497529,1.77100494233937,.123558484349259,3.21252059308072,.123558484349259,.0823723228995058,1.44151565074135,2428,28,0,94.3548387096774,79.4117647058823,1,1,0,0,0,1,Alles ok,88816219481,Primary Case,ActiVite,Noorderbrink,Noorderbrink
388_1948_2,11/12/2019,888162,388,1948,2,InstitutionType_NursingHome,yes,somatische verblijfsafdeling,Som,88.25,37.5,100,0,0,0, ,50,0,25,12.5,12.5,0,0,62.5,0,0,37.5,37.5,0,0,0,0,0,0,0,0,0,0,1,1,93.8632619439868,99.2540587977183,53.0934620447565,62.7029398859149,11.5840280824923,31.6153362664991,65.351059410054,33.1960461285008,33.2784184514003,29.159802306425,41.6392092257002,12.2322899505766,4.95662949194548,69.9049193881769,30.0658978583196,20.0988467874794,42.5864909390445,56.9604612850082,6.79571663920923,16.9686985172982,14.332784184514,.0411861614497529,1.77100494233937,.123558484349259,3.21252059308072,.123558484349259,.0823723228995058,1.44151565074135,2428,8,0,94.3548387096774,79.4117647058823,1,1,0,0,0,1,Alles ok,88816219482,Primary Case,ActiVite,Noorderbrink,Sassenoord
388_1949_1,11/12/2019,888162,388,1949,1,InstitutionType_NursingHome,yes,somatische verblijfsafdeling,Som,87.3953488372093,39.5348837209302,70.5882352941177,11.7647058823529,0,94.1176470588235, ,61.5384615384615,11.6279069767442,9.30232558139535,16.2790697674419,20.9302325581395,32.5581395348837,0,50,9.30232558139535,0,39.5348837209302,16.2790697674419,6.97674418604651,0,0,0,0,0,0,0,0,0,1,1,93.8632619439868,99.2540587977182,53.0934620447564,62.7029398859149,11.5840280824923,31.6153362664991,65.3510594100539,33.1960461285008,33.2784184514003,29.159802306425,41.6392092257002,12.2322899505766,4.95662949194548,69.904919388177,30.0658978583196,20.0988467874794,42.5864909390445,56.9604612850082,6.79571663920923,16.9686985172982,14.332784184514,.0411861614497529,1.77100494233937,.123558484349259,3.21252059308072,.123558484349259,.0823723228995058,1.44151565074135,2428,43,0,94.3548387096774,79.4117647058823,1,1,0,0,0,1,Alles ok,88816219491,Primary Case,ActiVite,Ommedijk,Somatiek
388_1949_2,11/12/2019,888162,388,1949,2,InstitutionType_NursingHome,yes,psychogeriatrische afdeling,PG,84.5384615384615,100,100,100,100,0,0,92.3076923076923,88.4615384615385,7.69230769230769,7.69230769230769,3.84615384615385,0,0,80.7692307692308,73.0769230769231,15.3846153846154,11.5384615384615,23.0769230769231,3.84615384615385,50,7.69230769230769,0,3.84615384615385,0,46.1538461538462,0,0,0,1,1,98.3599088838268,99.2820750347383,74.0620657711904,76.2621584066698,13.8953219082909,32.3550812515159,73.8633714152484,43.257403189066,43.4168564920274,37.9726651480638,34.7380410022779,13.2574031890661,2.30435774583618,81.9559228650138,38.5421412300683,29.4533029612756,52.6879271070615,66.2186788154898,3.55353075170843,41.867881548975,15.5353075170843,.273348519362187,14.4874715261959,.683371298405467,20.9567198177677,.797266514806378,1.07061503416857,6.5375854214123,4390,26,26,95.067264573991,87.9581151832461,0,0,0,0,0,0,Alles ok,88816219492,Primary Case,ActiVite,Ommedijk,kleinschalig wonen
388_1950_1,11/12/2019,888162,388,1950,1,InstitutionType_NursingHome,yes,psychogeriatrische afdeling,PG,82.9230769230769,100,100,82.051282051282,87.1794871794872,0,0,33.3333333333333,17.9487179487179,28.2051282051282,12.8205128205128,12.8205128205128,2.56410256410256,2.56410256410256,48.7179487179487,10.2564102564103,20.5128205128205,33.3333333333333,28.2051282051282,2.56410256410256,35.8974358974359,5.12820512820513,0,0,0,30.7692307692308,0,0,10.2564102564103,1,1,98.3599088838268,99.2820750347384,74.0620657711904,76.2621584066697,13.8953219082909,32.3550812515159,73.8633714152484,43.257403189066,43.4168564920274,37.9726651480638,34.7380410022779,13.2574031890661,2.30435774583618,81.9559228650138,38.5421412300683,29.4533029612756,52.6879271070615,66.2186788154898,3.55353075170843,41.867881548975,15.5353075170843,.273348519362187,14.4874715261959,.683371298405467,20.9567198177677,.797266514806378,1.07061503416857,6.5375854214123,4390,39,39,95.067264573991,87.9581151832461,0,0,0,0,0,0,Alles ok,88816219501,Primary Case,ActiVite,Rietveld,cluster 1
388_1950_2,11/12/2019,888162,388,1950,2,InstitutionType_NursingHome,yes,psychogeriatrische afdeling,PG,84.6,100,100,47.5,52.5,7.5,0,31.0344827586207,15,17.5,15,10,0,7.5,57.6923076923077,15,17.5,20,35,0,70,10,0,10,5,67.5,0,0,2.5,1,1,98.3599088838268,99.2820750347384,74.0620657711904,76.2621584066697,13.8953219082909,32.3550812515159,73.8633714152484,43.257403189066,43.4168564920274,37.9726651480638,34.7380410022779,13.2574031890661,2.30435774583618,81.9559228650138,38.5421412300683,29.4533029612756,52.6879271070615,66.2186788154898,3.55353075170843,41.867881548975,15.5353075170843,.273348519362187,14.4874715261959,.683371298405467,20.9567198177677,.797266514806378,1.07061503416857,6.5375854214123,4390,40,40,95.067264573991,87.9581151832461,0,0,0,0,0,0,Alles ok,88816219502,Primary Case,ActiVite,Rietveld,cluster 2
388_1950_3,11/12/2019,888162,388,1950,3,InstitutionType_NursingHome,yes,psychogeriatrische afdeling,PG,83.525,100,100,87.5,67.5,0,0,2.5,2.5,0,0,0,0,5,37.5,10,22.5,22.5,10,7.5,17.5,17.5,0,0,0,2.5,0,0,7.5,1,1,98.3599088838268,99.2820750347384,74.0620657711904,76.2621584066697,13.8953219082909,32.3550812515159,73.8633714152484,43.257403189066,43.4168564920274,37.9726651480638,34.7380410022779,13.2574031890661,2.30435774583618,81.9559228650138,38.5421412300683,29.4533029612756,52.6879271070615,66.2186788154898,3.55353075170843,41.867881548975,15.5353075170843,.273348519362187,14.4874715261959,.683371298405467,20.9567198177677,.797266514806378,1.07061503416857,6.5375854214123,4390,40,40,95.067264573991,87.9581151832461,0,0,0,0,0,0,Alles ok,88816219503,Primary Case,ActiVite,Rietveld,cluster 3
