Measurementday,Ward_name,Ward_type,D_Num_clients_part,D_Num_clients_beh,QF_Ward_PU_Discussed,QF_Ward_PU_Discussed_afd,PU_Prev,PU_Prev_ward,Med_fouten,Med_fouten_ward_nee,Med_fouten_ward_ja_nietmultid,Med_fouten_ward_ja,Med_review,Med_review_ward,ACP_reanimeren,ACP_reanimeren_ward,ACP_lifeending,ACP_lifeending_ward,ACP_ziekenhuis,ACP_ziekenhuis_ward,ACP_anders,ACP_anders_ward,VBM_Mechanisch,VBM_Mechanisch_ward,VBM_elektronisch,VBM_elektronisch_ward,VBM_fysiek,VBM_fysiek_ward,VBM_1op1toezicht,VBM_1op1toezicht_ward,VBM_farmacologisch,VBM_farmacologisch_ward,VBM_psychologisch,VBM_psychologisch_ward,VBM_afzondering,VBM_afzondering_ward,VBM_overig,VBM_overig_ward
5/16/2019,Linde,PG,9,9,nee,45.8,0,.463,Ja maar niet multidisciplinair,20.8,75,4.2,   100.0,100,100,100,33.3333333333333,69.11,44.4444444444444,52.16,0,2.03,44.4444444444444,17.41,44.4444444444444,62.24,0,7.21,0,0,66.6666666666667,13.44,0,0,0,0,0,6.44
5/28/2019,Koetree,PG,7,7,nee,45.8,0,.463,Ja maar niet multidisciplinair,20.8,75,4.2,   100.0,100,100,100,57.1428571428571,69.11,71.4285714285714,52.16,0,2.03,28.5714285714286,17.41,28.5714285714286,62.24,0,7.21,0,0,0,13.44,0,0,0,0,0,6.44
5/28/2019,Loohekke,PG,8,8,nee,45.8,0,.463,Ja maar niet multidisciplinair,20.8,75,4.2,   100.0,100,100,100,62.5,69.11,62.5,52.16,0,2.03,37.5,17.41,62.5,62.24,0,7.21,0,0,0,13.44,0,0,0,0,0,6.44
5/28/2019,De Dinkel,PG,9,9,nee,45.8,0,.463,Ja maar niet multidisciplinair,20.8,75,4.2,   100.0,100,100,100,44.4444444444444,69.11,44.4444444444444,52.16,0,2.03,11.1111111111111,17.41,44.4444444444444,62.24,22.2222222222222,7.21,0,0,11.1111111111111,13.44,0,0,0,0,0,6.44
5/28/2019,Eikenhof,PG,9,9,nee,45.8,0,.463,Ja maar niet multidisciplinair,20.8,75,4.2,   100.0,100,100,100,88.8888888888889,69.11,55.5555555555556,52.16,0,2.03,0,17.41,100,62.24,0,7.21,0,0,22.2222222222222,13.44,0,0,0,0,33.3333333333333,6.44
5/28/2019,Lindenhof,PG,7,7,nee,45.8,0,.463,Ja maar niet multidisciplinair,20.8,75,4.2,   100.0,100,100,100,100,69.11,42.8571428571429,52.16,0,2.03,14.2857142857143,17.41,100,62.24,28.5714285714286,7.21,0,0,14.2857142857143,13.44,0,0,0,0,14.2857142857143,6.44
5/28/2019,De Kafmolen,PG,9,9,nee,45.8,0,.463,Ja maar niet multidisciplinair,20.8,75,4.2,   100.0,100,100,100,88.8888888888889,69.11,22.2222222222222,52.16,11.1111111111111,2.03,0,17.41,77.7777777777778,62.24,0,7.21,0,0,0,13.44,0,0,0,0,0,6.44
5/28/2019,De Korenaar,PG,9,8,nee,45.8,11.1111111111111,.463,Ja maar niet multidisciplinair,20.8,75,4.2,   100.0,100,100,100,100,69.11,66.6666666666667,52.16,0,2.03,33.3333333333333,17.41,66.6666666666667,62.24,0,7.21,0,0,0,13.44,0,0,0,0,11.1111111111111,6.44
5/28/2019,De Regge,PG,9,9,nee,45.8,0,.463,Ja maar niet multidisciplinair,20.8,75,4.2,   100.0,100,100,100,33.3333333333333,69.11,33.3333333333333,52.16,0,2.03,11.1111111111111,17.41,77.7777777777778,62.24,22.2222222222222,7.21,0,0,0,13.44,0,0,0,0,0,6.44
6/3/2019,Weverij,PG,8,8,nee,45.8,0,.463,Ja maar niet multidisciplinair,20.8,75,4.2,   100.0,100,100,100,25,69.11,12.5,52.16,0,2.03,25,17.41,75,62.24,12.5,7.21,0,0,0,13.44,0,0,0,0,25,6.44
