Coordinator;IDresponsible;WardCodeOriginal;Organisatie;Locatie;Teamnaam
888467;111;102;Stichting Envida;Verpleegkliniek Larisa;etage 1
888467;111;103;Stichting Envida;Verpleegkliniek Larisa;etage 2
888467;111;112;Stichting Envida;Verpleegkliniek Larisa;Somatiek
888467;230;243;Stichting Envida;Verpleeghuis Grubbeveld;UNIT A
888467;230;244;Stichting Envida;Verpleeghuis Grubbeveld;UNIT B
888467;230;245;Stichting Envida;Verpleeghuis Grubbeveld;UNIT D
888467;230;246;Stichting Envida;Verpleeghuis Grubbeveld;UNIT E
888467;490;362;Stichting Envida;De Zeven Bronnen;Afdeling 1-2 PG
888467;490;361;Stichting Envida;De Zeven Bronnen;Afdeling 5-6 PG
888467;490;363;Stichting Envida;De Zeven Bronnen;Afdeling 3-4 Som
888467;490;364;Stichting Envida;De Zeven Bronnen;Afdeling 7G 7H
888467;493;236;Stichting Envida;Zorgcentrum Koepelhof;Koepelhof 3
888467;493;237;Stichting Envida;Zorgcentrum Koepelhof;Koepelhof 4
888467;493;238;Stichting Envida;Zorgcentrum Koepelhof;Koepelhof(afd 5)
888467;494;110 PG;Stichting Envida;Zorgcentrum Lenculenhof;PG-groep
888467;494;110;Stichting Envida;Zorgcentrum Lenculenhof;0-1
888467;494;111;Stichting Envida;Zorgcentrum Lenculenhof;2-3-4
888467;506;248;Stichting Envida;Verpleegunit de Bron;De Bron somatiek
888467;506;249;Stichting Envida;Verpleegunit de Bron;Mottenburght PG
888467;507;376;Stichting Envida;Verpleegunit Beukeloord;Beukeloord PG
888467;507;380;Stichting Envida;Verpleegunit Beukeloord;Beukeloord Somatiek
888467;804;365;Stichting Envida;Verpleegunit Appelgaard;Bloesem
888467;804;368;Stichting Envida;Verpleegunit Appelgaard;De Lommer
888467;804;367;Stichting Envida;Verpleegunit Appelgaard;Maretak
888467;804;369;Stichting Envida;Verpleegunit Appelgaard;De Twijg
888467;848;230;Stichting Envida;Locatie La Valence;Den Hoaf
888467;848;231;Stichting Envida;Locatie La Valence;Het Brook pg
888467;848;233;Stichting Envida;Locatie La Valence;Vogelzang
888467;1198;239;Stichting Envida;Verpleegunit Croonenhoff;VZH Croonenhoff
888467;1198;240;Stichting Envida;Verpleegunit Croonenhoff;Het Patronaat  en het Vloot
888467;1198;241;Stichting Envida;Verpleegunit Croonenhoff;Den Duuker
888467;1198;242;Stichting Envida;Verpleegunit Croonenhoff;Drie Leliën
888467;1445;105;Stichting Envida;VP De Mins;De Mins
888467;1446;377;Stichting Envida;VP Gulpen;VPH Gulpen Som
888467;1446;379;Stichting Envida;VP Gulpen;VPH Gulpen PG
888467;1449;370;Stichting Envida;Verpleegunit Hagerpoort;VZH
888467;1449;371;Stichting Envida;Verpleegunit Hagerpoort;Hagerpoort VPU
888467;1774;372;Stichting Envida;Verpleegunit Wilgenhof;Wilgenhof
888467;1774;379;Stichting Envida;Verpleegunit Wilgenhof;De Wilg
888467;2222;501;Stichting Envida;Envida transfer;AZM-Herstel
888467;2222;502;Stichting Envida;Envida transfer;Beijart Herstelzorg
889193;663;G01;Surplus;De Ganshoek;Ganshoek
889193;768;A01;Surplus;Antonius Abt;Team zorgappartementen AA
889193;768;A03;Surplus;Antonius Abt;Team Kleine Schans AA
889193;768;A02;Surplus;Antonius Abt;Team de Haven AA
889193;769;Smt01;Surplus;St. Martinus;STMartinus
889193;770;MH01;Surplus;Mauritshof;Mauritshof
889193;771;F02;Surplus;Fendertshof;FH Kompas
